cod_imovel;x;y
ES-3202900-F00F9AB1404B4ED8B3AFF1F1E6A62344;303136.496744029;7788839.106604712
ES-3202504-2A739356ED2347E186A453D2A18BEEE6;357407.19692375965;7803685.932569087
ES-3203601-046E1A85FEFD4690901AB125A1CD160E;333547.7146050435;8014241.064985376
ES-3203320-3EDCF756978E49AC89AB49FE9884868A;301873.19166105613;7666307.14168945
ES-3205150-E4B0280CB9724A0CBDD855DE8CFD71D4;330968.1992693483;7945666.37805318
ES-3205002-2B6B4F77E97E4AD59E95BD0A450AE23F;360374.4840255829;7782380.230564814
ES-3202405-CF9C3EC0D02F46C2B61673D5A295F1BB;341647.24310476606;7721961.201028848
ES-3203205-71D0E7C5C45C41D990205686BC40D231;354594.0920264594;7849620.906836893
ES-3202405-763DE95F5FD24AD3B6B7FF11F2F24F85;346128.78914692905;7726885.49605816
ES-3204559-9B8E0EA6E9324FF98D95E0EBE5F07BE8;297103.2840220095;7772082.430291221
ES-3200409-BF7D2242CE3E424DA4AF706D7A8DDD5D;323078.95399365324;7707929.229026552
ES-3204104-C3EA9955A9C64DA992EB45271FFD3648;371009.54002233734;7966538.324088244
ES-3204559-1969C1A2B2BF40939167BE89E30FA8AB;301243.77363070776;7778529.426780173
ES-3202108-89D9D679656946C3A245D4F4F601952E;307048.69514711516;7959959.21613111
ES-3201209-9D982868AB25497DB2F1C9F856B142A3;270765.46895458514;7707356.389136154
ES-3204906-00D2906181904A96935DA17A3FC83EEB;390638.08893629827;7932994.696856722
ES-3204302-DB4C6CEA2DC144E8B6C753324F61F64B;277712.1236251268;7664239.398700507
ES-3200300-263B033F34F946009078D0985739A206;300588.971086341;7729290.388225969
ES-3201902-06AB03F58DFC4EBEBD6DC26CEC52A647;285411.499149367;7748689.234966282
ES-3204559-E82D18E919C64AE89425C35E514A1C4C;329533.32600793114;7781844.450001386
ES-3202207-AA5C7FF4A3F1415C9A9C7011FED2AA59;350086.54570663377;7788692.289767544
ES-3203205-1208B4D1AA6C434389DD6A996D2BF065;354587.4263002004;7846987.175723803
ES-3204302-E3EBE96B542B42C4B69C4BE5C5168CBC;278321.9722943984;7663517.374837244
ES-3204500-C7AB0444F4264F69A7AB9AA564BCF096;326199.31240615586;7773059.63979502
ES-3204609-698ECC98408D47EAB1C387D52D786BC9;334684.75579569594;7800856.470790667
ES-3204955-C1F29502B7BA4DBC89EB674F46C0A8D6;325026.0400404825;7818145.172954519
ES-3204351-96C95889616C4661BD63955DA3CA3FDC;359541.5641906501;7876528.719055505
ES-3205150-41BB375D2AE94AAE80F2F94A2596C69A;326979.4241006897;7938681.191570248
ES-3201803-57C4F8E28D584F2BBE8891F32E745531;213411.31910326192;7718571.352411968
ES-3205002-5F33D6E2DA6147DB8D6E64F046CF16F5;353272.6797568641;7784653.053914262
ES-3200169-1B1A3D534A8B40EAA5B396444A5099DA;281212.17239049065;7967680.661937535
ES-3201209-84CF95027256420B882A1B7AE88A5EA6;269307.03986457473;7690548.407787332
ES-3202306-AEBD878D3B4F4548811C7B9B815044C6;228226.16141230316;7704860.935996946
ES-3202801-B9E084E1DA054340AC6ABB45D7DDF66F;295728.7003263779;7670610.980750654
ES-3200409-B7AC4450EA01453682E2B7FE8F767766;314055.6794930727;7709175.601106269
ES-3200102-019DE7C5F49943C79DF3C2DC0F6A8319;277725.3390726319;7792853.275940891
ES-3204500-ADFE4EECAA65431E8D07166DBB26DE44;322375.3361396211;7769731.178222379
ES-3200904-182FA7E99305468CA0DF6FACC73950DD;310945.5866061547;7940594.265907472
ES-3200508-D837B8D5395E446F958B5356DF8A882F;232167.53369701793;7673422.228741808
ES-3202801-F24FE5302165490FBB54AC1A2A1B201C;306879.53882109106;7684364.026908193
ES-3202553-3B2940A899AD49D598C6A06C3A53C3DF;220071.49981345475;7725597.2054971
ES-3205002-BC02BA3F92214B5781175B9B46A0CB2A;354593.4543158132;7777344.297123553
ES-3201407-64983C8426DE482E948EBA976F1A03E3;275460.41000411834;7717214.637370655
ES-3204906-E3DFA461396A44A7A0D69B3DCA1E2A98;388679.95830096037;7923294.612856049
ES-3203353-760A360544C0448A804096DD46CA75CF;337735.2723625739;7846508.602095025
ES-3205069-39F16C1622CD4568908709F98D6A3C9A;275253.4651935018;7742189.781273794
ES-3204559-D663E0F7CD07499492F1054F5A81DC83;317594.4178367251;7784668.096587966
ES-3204559-E47A64608B384D3ABC5955B50BA0F9D1;323547.29243560147;7781353.521335117
ES-3204351-F677CA4DB36240EBBDDB24494FB08D78;365191.77820215374;7876694.362980299
ES-3201209-0597A52B89AB4A24AA8F5F171C94EE59;267444.81301419483;7690519.312410231
ES-3202405-64BC33B56AD64ECB972EA378F25DC631;343315.9833020046;7718863.545302227
ES-3200904-E25572A81F0944BAB00E7C10F7B180F9;298876.6343089983;7943716.402478186
ES-3200904-F95A09B89A6340218A7E863347246C8B;298526.2576145167;7961046.735397506
ES-3201407-76E920A00A0D473AB6A3E84168AA884E;262236.144989639;7730187.902039144
ES-3205036-3D1FF64EB01147FD8CA61385E3C9EF52;286575.9122964621;7720044.3219375685
ES-3204906-041F6CFB4AB4434C8BC3D3B5ED9E9B11;389782.0629206683;7931355.654687432
ES-3203601-85BCEEF4036140E3A90C282549AF6486;329343.49664536037;8007037.722219093
ES-3204906-B76E6EE2BC76437AB593ECDB8EE805AD;387873.9344615633;7935007.848509587
ES-3200904-301E21755F7F43E9B9A02A6B065391D8;312063.6718691202;7934289.629227787
ES-3202553-B6BF64AA5F4C40B4B7F5195EC2197A15;223548.90607808915;7740799.35582618
ES-3203700-5A93AF6BE7F34C2FAD7F2E3C8DED6D70;248942.00230012703;7755553.81210947
ES-3203346-FC23FF7371B649FFBD5EA823D532553A;306172.0144405119;7741934.956191717
ES-3202306-720C78BEA1044313B2EEF056638576C3;207517.1134988077;7703313.042678931
ES-3200300-7EA6AC961E1C4581B3F49F9650830665;307758.5049614182;7720295.967518376
ES-3203205-82612C94B71848F8A604E4B832420F16;366479.53260610113;7857267.913750038
ES-3204005-57594C42BEA64DFCB8A1A8E214F29BFF;305504.9884716007;7888888.469522441
ES-3201159-402F82AE62F94A659176E15A4EF31A02;265683.4129280384;7756572.783773737
ES-3203809-0740FA1977B94F56A3026A7800623EA0;267169.6890485686;7677926.618641483
ES-3202405-4F8952863DD3405E99B3A4FDD85E0A65;350944.29089651967;7721466.7567966785
ES-3200607-B6337FA0E1C44488886169D0F80C4AF2;379166.7512338563;7817118.274941415
ES-3205036-3286F5B872A54287A95DCE6EFB165A68;288363.8063097048;7722067.87230044
ES-3205150-943F6913731C46A684B2775D170C3AD0;328931.16257520125;7940202.804623343
ES-3202603-F09B6017895E40E0AC0331F4B89C9CC5;310610.1786982592;7699614.937889773
ES-3202405-700EE39818F84FB297CEAB5D797452D2;327211.86859872635;7730663.341564488
ES-3200201-FB0DD7C120724A7EB05112400C7E9766;241754.8641507861;7705632.584425366
